"category","question","answer"
"Computers","In which programming language would the following appear: "#!/usr/bin/python"","Python"
"Computers","Who invented Tetris ?","Alexi Pazhitnov"
"Computers","Tim Berners-Lee is most famous for inventing what?","HTML"
"Computers","How many Bytes are 1 KiloByte","1024"
"Computers","s the command for a function","def"
"Computers","Tim Berners-Lee is most famous for inventing what?","World Wide Web"
"Computers","What is the reason behind the layout of the Qwerty keyboard ?","To slow down typing rates"
"Computers","Who was the founder of Lotus Cars Ltd.?","Colin Chapman"
"Computers","Programming language C++ had which predecessor","C"
"Computers","Is the Digital Alpha big or little endian?","little"
"Computers","What does the CAT in CAT-SCAN stand for?","Computerised Axial Tomography"
"Computers","s the command for "else if"","elif"
"Computers","Computer abbreviations: IRC","Internet Relay Chat"
"Computers","What was launched on the 4th December 1996 ?","Mars Pathfinder"
"Computers","Which new Microsoft language is leading the .NET strategy of 2002","C#"
"Computers","Is the Intel x86 big or little endian?","little"
"Computers","on aircraft what does VTOL stand for?","Vertical Take off and landing"
"Computers","That big square thing you're staring at right now is called a ·······?","monitor"
"Computers","Which of these formats should typically not be used in a webpage: GIF, PNG, BMP, JPG","BMP"
"Computers","What does CR-ROM stand for?","Compact Disk Read Only Memory"
"Computers","Computer abbreviations: HTH","Hope That Helps"
"Computers","What was the Earth's first artificial satellite ?","Sputnik 1"
"Computers","Which company distributes Java","Sun"
"Computers","What does DMA stand for?","Direct Memory Access"
"Computers","On which browser engine is Netscape 6 based","Mozilla 1.0"
"Computers","Computer abbreviations: ROTW","Rest Of The World"
"Computers","What was the first lighthouse ?","Pharos of Alexandria"
"Computers","Is Java and JavaScript basically the same thing","no"
"Computers","What does the acronym COBOL stand for?","Common Business Oriented Language"
"Computers","The Internet Relay Chat Program, which normally connects to port 6667, is more commonly known as ···.","IRC"
"Computers","On which browser engine is Netscape 6 based","Mozilla"
"Computers","Computer abbreviations: IMHO","In My Humble Opinion"
"Computers","What was the name of the first plane ever to fly ?","Flyer"
"Computers","What Year were Traffic Lights first used?","1919"
"Computers","Is multiple inheritance possible in Java","no"
"Computers","Linux is a clone of what operating system?","UNIX"
"Computers","Can you seperate CSS by media","yes"
"Computers","What colour is the 'Black box' on commercial planes?","Orange"
"Computers","Computer abbreviations: IMO","In My Opinion"
"Computers","Which was the first manned aircraft to exceed the speed of sound ?","Bell X-1"
"Computers","What was the Jaguar Car called before 1945?","SS"
"Computers","Which company is responsible for most of the standards used in the World Wide Web","World Wide Web Consortium"
"Computers","What does ASCII stand for?","american Standard code for information interchange"
"Computers","CACA?","NO"
"Definitions","The art of tracing designs and taking impressions of them is ···········.","lithography"
"Definitions","What is ornamental work in silver or gold thread called?","filigree"
"Definitions","A depilatory is a substance used for removing ····.","hair"
"Definitions","The covering on the tip of a shoelace is a(n) ·····.","aglet"
"Definitions","What is the name given to a pregnant goldfish?","twit"
"Definitions","A device used to change the voltage of alternating currents is a ··········.","transformer"
"Definitions","The distance around the outside of a circle is its ············.","circumference"
"Definitions","What word means 'to chew the cud'?","ruminate"
"Definitions","A flat, round hat sometimes worn by soldiers is a ·····.","beret"
"Definitions","The earth's atmosphere and the space beyond is known as ·········.","aerospace"
"Definitions","A government in which power is restricted to a few is a(n) ··········.","oligarchy"
"Definitions","The effect produced when sound is reflected back is known as a(n) ····.","echo"
"Definitions","A person in his eighties is called a(n) ············.","octogenarian"
"Definitions","The feeling of having experienced something before is known as ·······.","deja vu"
"Definitions","A person who starts fires maliciously is a(n) ·········.","arsonist"
"Definitions","The science of preparing and dispensing drugs is ········.","pharmacy"
"Definitions","A person with a strong desire to steal is a(n) ········.","kleptomaniac"
"Definitions","The science of providing men, equipment and supplies for military operations is called ········.","logistics"
"Definitions","A receptacle for holy water is a(n) ····.","font"
"Definitions","A pugilist is a ·····.","boxer"
"Definitions","The study of human behaviour is ··········.","psychology"
"Definitions","A sun-dried grape is known as a(n) ······.","raisin"
"Definitions","The study of human pre-history is ···········.","archaeology"
"Definitions","A word like 'NASA' formed from the initials of other words is a(n) ······.","acronym"
"Definitions","The study of insects is ··········.","entomology"
"Definitions","An "omniscient" person has unlimited ··········.","knowledge"
"Definitions","The study of light and its relation to sight is called ······.","optics"
"Definitions","Acrophobia is a fear of ·······.","heights"
"Definitions","The study of man and culture is known as ··········.","anthropology"
"Definitions","An anemometer measures ···· ········.","wind velocity"
"Definitions","The study of natural phenomena: motion, forces, light, sound, etc. is called ······.","physics"
"Definitions","An animal stuffer is a(n) ···········.","taxidermist"
"Definitions","The study of plants is ······.","botany"
"Definitions","An artist supports his canvas on a(n) ·····.","easel"
"Definitions","The study of religion is ········.","theology"
"Definitions","An iron hook with a handle used for landing large fish.","gaff"
"Definitions","An instrument on a car to measure the distance travelled is called a(n) ········.","odometer"
"Definitions","The study of sound is ·········.","acoustics"
"Definitions","The practice of women taking more than one husband is called?","polyandry"
"Definitions","Animals that once existed but don't exist now are said to be ·······.","extinct"
"Definitions","The study of the composition of substances and the changes that they undergo is ·········.","chemistry"
"Definitions","A catalogue of words and synonyms.","thesaurus"
"Definitions","Androphobia is the fear of ·····.","males"
"Definitions","The study of the earth's physical divisions into mountains, seas, etc. is ·········.","geography"
"Definitions","Any object worn as a charm may be called a(n) ······.","amulet"
"Definitions","The study of the manner in which organisms carry on their life processes is ·········.","physiology"
"Definitions","Brontophobia is the fear of ·······.","thunder"
"Definitions","The symbols used on a map are explained by the ······.","legend"
"Definitions","Bibliophobia is a fear of ·····.","books"
"Definitions","The treatment of disease by chemical substances which are toxic to the causative micro-organisms is called ············.","chemotherapy"
"Definitions","Dendrochronology is better known as ··········.","ring dating"
"Definitions","The wide wall built along the banks of rivers to stop flooding is a(n) ·····.","levee"
"Definitions","Doraphobia is the fear of ·········.","fur"
"Definitions","The weight at the end of a pendulum is a(n) ······.","bob"
"Definitions","Eleutherophobia is a fear of ·······.","freedom"
"Definitions","The word "cumulus" refers to a type of ···········.","cloud"
"Definitions","What date is the 'Ides' of March?","Fifteenth"
"Definitions","Gymnophobia is the fear of ··········.","naked bodies"
"Definitions","Throat, foxing, and platform are parts of a(n) ········.","shoe"
"Definitions","Hills and ridges composed of drifting sand are known as ·····.","dunes"
"Definitions","Toxiphobia is a fear of ·········.","poison"
"Definitions","What does a chronometer measure?","Time"
"Definitions","Ichthyology is the study of ········.","fish"
"Definitions","What is another name for a tombstone inscription?","epitaph"
"Definitions","What is a catalogue of languages called?","ethnologue"
"Definitions","Name the pain-inflicting person you go to to get your teeth fixed.","dentist"
"Definitions","What is the common term for a "somnambulist"?","sleepwalker"
"Definitions","What is a gondola?","water taxi"
"Definitions","Name the porceilan chair you sit on at least once a day.","toilet"
"Definitions","What is the term for a castrated rooster?","capon"
"Definitions","What is a one-party system of government in which control is maintained by force and regimentation?","fascism"
"Definitions","One who tells fortunes by the stars is a(n) ··········.","astrologer"
"Definitions","What is a word for a sorcerer who deals in black magic?","necromancer"
"Definitions","-isms: A one-party system of government in which control is maintained by force and regimentation.","fascism"
"Definitions","Rats, mice, beavers, and squirrels are all ·······.","rodents"
"Definitions","What is another name for a sleepwalker?","somnambulist"
"Definitions","A clip, shaped like a bar to keep a woman's hair in place is a ·······.","barrette"
"General","What does 'alma mater' mean in English?","bountiful mother"
"General","Cocktails: Creme de Cacao, cream, and brandy make a(n) __________.","Brandy Alexander"
"General","The Green Goblin is arch villain of which super hero","Spider-Man"
"General","Seoul is the capital of which country?","South Korea"
"General","What is the ocean of air around the earth called?","Atmosphere"
"General","What is another name for the carambula?","star fruit"
"General","A receptacle for holy water is a(n) ________.","Font"
"General","Name a country which has the same name as a bird.","Turkey"
"General","Who replaced Moses as the prophet of the Israelites?","Joshua"
"General","A foot-long ruler is ·· inches long.","twelve"
"General","Who was the first singer in Genesis?","Peter Gabriel"
"General","what do you get when you add fresh fruit to red wine","sangria"
"General","Who played the 'Wicked Witch of the West' in "The Wizard of Oz"","Margaret Hamilton"
"General","Who was the original voice of Mickey Mouse?","Walt Disney"
"General","Where were the 1936 Olympics held ?","Berlin, Germany"
"General","How many prongs are there on a dinner fork?","4"
"General","This drink is made from espresso coffee, steamed milk and chocolate.","Mocha"
"General","What's the world's largest Gulf?","gulf of mexico"
"General","From which language does the term 'Mayday' come?","French"
"General","Who sang the song 'Ironic'?","Alanis Morisette"
"General","Who killed Kenny?","They"
"General","What weapons did the indians use to defeat custer?","Winchester Specials"
"General","What is the name given to the switching of letters in an expression (e.g. saying Jag of Flapan instead of Flag of Japan)?","spoonerism"
"General","In which state is Walla Walla?","Washington"
"General","What did the House of Saxe-Coburg-Gotha change it's name to ?","House of Windsor"
"General","Name the incident in which tea was dumped into the harbour.","Boston Tea Party"
"General","By raising your legs slowly and laying on your back, in what can you not sink?","quicksand"
"General","Which character in "Forrest Gump" loved shrimp?","Bubba"
"General","The last line of this document is 'Working men of all countries, unite.'","The Communist Manifesto"
"General","Dr. Octopus and The Goblin are arch-enemies of which super-hero","Man"
"General","Which game usually begins with, 'Is it animal, vegetable, or mineral?'","20 Questions"
"General","How many games must you win to win a normal set in tennis?","Six"
"General","Where did the card game 'bridge' originate?","Turkey"
"General","What does the pancreas produce?","insulin"
"General","The spot on the Earth's surface directly above an earthquake's focus is called the ______.","Epicenter"
"General","Dogs bark.  What do donkeys do?","Bray"
"General","What type of craft is the US's Airforce One?","Boeing 747"
"General","How many days where there in 1976?","366"
"General","What is the most sacred river in India?","The Ganges"
"General","The season ······ comes right after Spring.","summer"
"General","What is Batman's butler Alfred's last name.","Pennyworth"
"General","Which European club has won the most european cups in the 90s?","AC Milan"
"General","What is the chemical symbol for californium?","Cf"
"General","What talent did Dumbo the elephant have?","he could fly"
"General","A brown crayon is what color?","brown"
"General","How long is the longest tunnel? (in kms)","one hundred and sixty nine"
"General","Where were the 1956 Summer Olympics held?","Melbourne, Australia"
"General","What name is given to the abominable snowman ?","Yeti"
"General","Baseball: The Texas ······?","Rangers"
"General","What is the correct name for the Union Jack Flag?","The Union Flag"
"General","Which famous building was built by Shah Jehan ?","Taj Mahal"
"General","Name the hardest substance in the human body.","Enamel"
"General",""7X" was used to refer to the secret ingredient of which drink?","Coca Cola"
"General","In which year was Masamune Shirow born","1961"
"General","Who starred with John Travolta in the movie "Broken Arrow"?","Christian Slater"
"General","U.S. President, Herbert C. _________.","Hoover"
"General","Legal Terms: A supplement to a will.","Codicil"
"General","The Ionian and Cyclades are island groups of which country?","Greece"
"General","Who at Buckingham Palace wears bearskins?","guards"
"General","What word is used for a male deer?","Buck"
"General","This Pacific island's puzzling monoliths attract ethnologists.","Easter Island"
"General","What is the name of a quarter of Jerusalem that can be translated as 'hundred gates'?","Mea Shearim"
"General","Which is the most sensitive finger?","forefinger"
"General","What is measured by a Geiger counter?","Radioactivity"
"General","These wounds of christ mysteriously appear on believers who sometimes weep blood as well.","stigmata"
"General","Name the only flexible murder weapon in the game of "Cluedo".","rope"
"General","What is hyperglycemia commonly known as ?","diabetes"
"General","what famous lisp program sends an electronic mail 'bill' when run on unix","doctor"
"General","What word can be a verb, noun, adjective, preposition, conjunction, interjection and a verbal auxiliary?","like"
"General","Infantile Paralysis is commonly known as ········.","polio"
"General","An adventurous penguin named Tennessee Tuxedo had a sidekick named ·······?","Chumley"
"General","-isms: The social and philosophic creedo of Irish playwright George Bernard Shaw is called:","Shavianism"
"General","What sport/game is Chris Evert associated with?","tennis"
"General","Baseball: The San Diego ·······?","Padres"
"General","Physics: The color white is the absence or presence of all color?","presence"
"General","Approximately how many dreams does a person have every year?","1460"
"General","Mark Twain referred to the what as the "stomach Steinway."?","accordion"
"General","(Sophia Loren) Thank you for the compliment. But everything you see, I owe to ... ?","spaghetti"
"General","What name is given to animals which only eat meat ?","Carnivore"
"General","Who is the male lead in the "Naked Gun" movies?","Leslie Nielsen"
"General","A point to which rays of light converge is called a(n) ________.","Focus"
"General","What do the initials U.F.O stand for?","Unidentified Flying Object"
"General","What is the only digit that has the same number of letters as its value?","four"
"General","Spider-Man: character of Image, Marvel, DC, Dark Horse","Marvel"
"General","What is the capital of New Zealand?","Wellington"
"General","He wrote "Sexual Behaviour in the Human Male" in 1948.","Alfred Kinsey"
"General","Words containing 'for': Pardon.","FORgive"
"General","What is the current name for south-west Africa?","Namibia"
"General","20% of what is in the metal part at the end of a pencil?","sulphur"
"General","Who played Matt Helm in the movies?","Dean Martin"
"General","What mountain range separates Europe from Asia?","The Urals"
"General","Of what are xenophobics afraid?","strangers"
"General","Basketball: The Utah ········.","Jazz"
"General","forest fires in the western u.s. are usually caused by what","lightning"
"General","What 'V' is an old soldier?","veteran"
"General","Ethanoic (or acetic) acid is the major constituent of which everyday condiment?","vinegar"
"General","Who invaded England in 55 BC?","Romans"
"General","From where was Ricky in 'I Love Lucy'?","Cuba"
"General","What percentage of Antarctica is ice?","ninty eight"
"General","Which song is used in the movie "Loser"?","Teenage Dirt Bag"
"General","How many hurdles in a 400m hurdle race?","10"
"General","What hormone is produced by the adrenal glands?","Adrenaline"
"General","... is the view that moral utterances are neither true nor false statements about the world. They are, instead, expressions of feelings or prescriptive utterances. The key to this issue is distinguishing between two types of utterances: (1) propositional","noncognitivism"
"General","How many muscles are in a human ?","639"
"General","In which game or sport is a "Zamboni" used?","Hockey"
"General","Red Skull is arch villain of which super hero","Captain America"
"General","What continent is Cyprus considered to be part of?","Asia"
"General","Approximately how many inches are there in one meter?","39"
"General","What is the most widely used seasoning?","salt"
"General","Similes: As easy as ________.","Pie"
"General","Khartoum is the capital of which country?","Sudan"
"General","Whose name did God change to Israel?","Jacob"
"General","A can of Pepsi holds ·· fluid ounces.","twelve"
"General","What's the highest mountain in the 48 contiguous U.S. states?","Mount Whitney"
"General","what planet boasts the great red spot","jupiter"
"General","This movie directed by Woody Allen won the best picture Oscar in 1978.","Annie Hall"
"General","What was George of the Jungle always running in to?","Trees"
"General","Where were the 1948 Olympics held ?","London, England"
"General","How many keys are there on a grand piano?","eighty eight"
"General","What 'S' was a king of israel who was famous for his wisdom?","Solomon"
"General","What's the capital of Majorca?","palma"
"General","The Scots call it 'shinty' - what do Canadians and Americans call it?","hockey"
"General","Which group sang the song "Thank You For Loving Me"?","Bon Jovi"
"General","Who played Bobby Ewing in the TV series 'Dallas'?","Patrick Duffy"
"General","What in the wild west was known as The Peacemaker?","Colt 45"
"General","What is the study of weather technically called?","meteorology"
"General","What lies between mars and jupiter?","the asteroid belt"
"General","This section of Manhattan is noted for its Negro and Latin American residents.","Harlem"
"General","What do the letters F.D. on British coins mean ?","Defender of the Faith"
"General","Followers of the Unification Church are called ________.","Moonies"
"General","Who invented the predecessor to today's computers?","Charles Babbage"
"General","Who played Brad Pitt's cop partner in the movie "Seven"?","Morgan Freeman"
"General","Who succeeded Churchill when he resigned in 1955?","Anthony Eden"
"General","Who invented Fritz the Cat","Robert Crumb"
"General","What trophy is awarded to the winner of the NHL play-offs?","The Stanley Cup"
"General","How many referees work a soccer game?","One"
"General","Where does the annual Poker World Series take place?","Las Vegas"
"General","What element is lacking in a diet when goitre occurs?","iodine"
"General","From which fish is caviar obtained?","The sturgeon"
"General","Name the mammal living at the highest altitude.","Yak"
"General","Whic country developed the first jet fighter?","Germany"
"General","What are the 3 big colleges of the Ivy League? (name them alphabetically)","Harvard, Princeton, Yale"
"General","In what country is the highest point in South America?","Argentina"
"General","There are ·· seconds in a minute.","sixty"
"General","An adventurous penguin named Tennessee Tuxedo had a sidekick named _______?","Chumley"
"General","What football team was formerly known as the Frankford Yellow Jackets?","Philadelphia Eagles"
"General","What is the chemical symbol for curium?","Cm"
"General","What is the chalice used by Jesus Christ at the Last Supper called?","Holy Grail"
"General","A smoke detector will alarm if it detects ·····.","smoke"
"General","The world's longest tunnel connects Delaware and ······?","New York"
"General","Which female singer collaborated with Eminem with the song "Stan"?","Dido"
"General","Where were the 1960 summer Olympics held?","Rome, Italy"
"General","What name is given to those days which have equal hours of daylight and darkness ?","Equinox"
"General","Basketball: The Denver ······?","Nuggets"
"General","What is the purple ink used to stamp meat made from?","Dark Grape Skins"
"General","Is Darrel a goof ball?","yes"
"General","This disease consists of a purposeless, continual growth of white blood cells.","Leukemia"
"General","This animal's shell is used to make attractive jewelry.","Abalone"
"General","Kaneda is a motor-cycling rebel in which Manga","Akira"
"General","This was the Beatle's first film.","A Hard Day's Night"
"General","Who founded Mormonism?","Joseph Smith"
"General","Words containing 'for': Many trees.","FORest"
"General","On which river is the Aswan High Dam?","Nile"
"General","Which building commemorates the Great Fire of London?","Monument"
"General","This instrument is used for measuring the distance between two points, on a curved surface.","Callipers"
"General","Which city is known as Motown?","Detroit"
"General","What is the name of the wrought iron tower in Paris?","Eiffel Tower"
"General","Where is the Ocean of Storms located?","The moon"
"General","In theology, the study of final things such as death, judgement and the end of the world is called:","eschatology"
"General","Name the only woman suspect in the game of "Cluedo" who isn't married.","Miss Scarlett"
"General","This condition characterized by the swelling of the thyroid gland is caused by an iodine deficiency.","goitre"
"General","what company created a computer dubbed jackintosh","atari"
"General","What was the first product to have a bar code on it?","wrigley's gum"
"General","Meningitis affects the ·········.","brain"
"General","Before Olive Oil met Popeye she was engaged to someone.  Who was he?","Ham Gravy"
"General","At the outbreak of WWI what country's airforce consisted of only 50 men?","United States"
"General","What trophy is awarded to the winner of the NHL playoffs?","Stanley Cup"
"General","If Brazil had won the 1998 tournament, how many times would they have won the soccer World Cup?","five"
"General","The analysis of blood splatter patterns, insect specimens taken from a crime victim, and ballistic information are all part of a larger crime-solving science known as:","Forensics"
"General","Of what did Sigmund Freud have a morbid fear?","ferns"
"General","Isaac Newton dropped out of school when he was a teenager, at his mother's request. She hoped he would become a successful?","farmer"
"General","(Bill Cosby) I do not sing, I do not dance, and I don't say ... ?","sir"
"General","What name is given to animals which only eat plants ?","Herbivore"
"General","In the film 'Bright Eyes', Shirley Temple sang about this boat.","The good ship 'Lollipop'"
"General","Work done, equals force multiplied by ________.","Distance"
"General","What fruit is "Citrus grandis"?","Grapefruit"
"General","What is the square root of one quarter?","one half"
"General","Hulk: character of Marvel, Image, Dark Horse or DC","Marvel"
"General","On what river is the capital city of Canada?","Ottawa"
"General","Doctors often have this instrument around their neck.","A stethoscope"
"General","What is the tombstone inscription called?","Epitaph"
"General","The word "cumulus" refers to a type of ___________.","Cloud"
"General","As what is sulphur also known?","brimstone"
"General","Where is the Admirality Arch?","London"
"General","Which state is divided into two parts by a large lake?","Michigan"
"General","Mottephobia is the fear of what?","moths"
"General","Football: The Baltimore ········.","Colts"
"General","by the early 1900's, every southern state required all voters to pay what type of special tax","poll tax"
"General","What 'V' is a word meaning a farewell?","valediction"
"General","This spiny fruit with a pungent odor and rich yellow flesh is considered "The King of Fruits" by many southeast asians.","durian"
"General","What are Australian 'Lamingtons'?","Chocolate Cakes"
"General","In 'Coronation Street', who is Ken and Denise's son?","Daniel"
"General","What did the americans buy of Russia for $7,200,000 in 1867?","alaska"
"General","From which movie comes the song "Under the Sea"?","Little Mermaid"
"General","Polo consists of 8 periods called what?","Chukkers"
"General","These marine crustaceans often attach themselves to the hulls of ships.","Barnacles"
"General","... is the belief that all values are baseless and that nothing can be known or communicated. It is often associated with extreme pessimism and a radical skepticism that condemns existence.","Nihilism"
"General","How was "Abu Yusuf Ya'qub ibn Is-haq ubn as-Sabbah ibn 'omran ibn Ismail al-Kindi" better known  ?","The philosopher of the Arabs"
"General","If you "peg out" what game are you playing?","Cribbage"
"General","What does 'majuba' mean?","place of rock pigeons"
"General","Similes: As proud as a(n) ___________.","Peacock"
"General","In which organ is a pulmonary disease located?","Lungs"
"General","What is the oldest known vegetable?","pea"
"General","Throat, foxing, and platform are parts of a(n) ________.","Shoe"
"General","What Canadian city is at the west end of Lake Ontario?","Hamilton"
"General","In the 'Twelve days of christmas', how many items in total are sent by 'my true love'?","seventy eight"
"General","Most men do this each morning, using a razor.","shave"
"General","What was the name of the dog in RCA Victor's trademark?","Nipper"
"General","she was the first woman to swim the english channel","gertrude ederle"
"General","As what is Polaris also known?","North Star"
"General","In 1975 Jack Nicholson won the best actor Oscar for his role in this film.","One Flew Over the Cuckoo's Nest"
"General","Where are Rocket J. Squirel and Bullwinkle Moose from?","Frostbite Falls"
"General","Where were the 1952 Olympics held ?","Helsinki, Finland"
"General","How many eyeballs does a four-eyed fish have?","2"
"General","How many animals of each kind did Moses take onto the ark?","None (It Was Noah Not Moses)"
"General","What has 1,792 steps in it?","eiffel tower"
"General","Which word means "profound boredom" in both french and english?","ennui"
"General","Which group sang the song "Smells Like Teen Spirit"?","Nirvana"
"General","Who played George Costanza on 'Seinfeld'?","Jason Alexander"
"General","Who said A computer will never need more than 640k of memory in 1982?","Bill Gates"
"General","What does GNP stand for ?","Gross National Product"
"General","What is a person who makes barrels called?","cooper"
"General","In what island group is Corregidor?","Philippines"
"General","What does GDP stand for ?","Gross Domestic Product"
"General","This F.B.I agent headed the investigation of Al Capone.","Elliot Ness"
"General","In the 1996 version of 'Romeo and Juliet', who played Juliet?","Claire Danes"
"General","Mussolini invaded this country in 1935.","Ethiopia"
"General","Who invented "Mr. Natural"","Robert Crumb"
"General","A bridge hand with no cards in one suit is said to have a _______.","Void"
"General","Hockey: The St. Louis __________.","Blues"
"General","Approximately how many pounds of cereal will the average american/canadian eat every year?","twelve"
"General","What falls out with phalacrosis?","hair"
"General","Name the largest gland in the human body.","The liver"
"General","This dry, warm wind flows eastward down the slopes of the Rocky Mountains.","Chinook"
"General","Who built the 'Cherokee' and 'Comanche' aircraft?","Piper"
